,idx,src,mt,type
356545,1585370,"Der arme Ficksklave, der noch dazu kommt.",The poor ficksklave that comes with it.,TO ANNOTATE
1912067,118065,"L"" Internationaler Flughafen von Lugano Agno , Arbeitssünde von 1938, verfängt sich es oben sein nur geschehenes in den Jahren ""80, wenn es gehandhabt von kommt societ rossair intensifying the air traffic with flights towards the pi?mportanti centers of Switzerland and dell'Europa, beyond to being used for d'affari flights , tourist and of job.","L"" International Airport of Lugano Agno , Labor sin of 1938, it catches up above its only happened in the years ""80 when it is handled by societ rossair intensifying the air traffic with flights towards the pi?mportanti centers of Switzerland and dell'Europa, beyond to being used for d'affari flights , tourist and job.",TO ANNOTATE
545558,828312,Die Prothese fällt bei einem Vornüberbeugen nicht vom Körper ab.,The prosthesis does not fall off the body in the case of a prosthesis.,TO ANNOTATE
871701,288174,"Ich habe meine Fassung nicht verloren, ich zerriss gleich mein Hemd und verband mich selbst damit.","I've not lost my version, I'm tearing my shirt straight away and linking myself with it.",TO ANNOTATE
1217429,89304,"Hand zu Hand daß das Kochen in Oberfläche vorangeht, bilden sie sich einige Blasen Kleine gekochteren der sie übertragen das Charakter Aussehen.","Hand to hand that cooking precedes in surface, they form some bubbles little cooked that they transfer the character appearance.",TO ANNOTATE
831056,1346411,Es sind sowohl die Straßenbahnweichen als auch Spezialweichen bestimmt für den Einbau in den Übergängen.,It is designed both for trams and special ways to be built in the transitions.,TO ANNOTATE
187194,1600879,Die schärfste dieser Art noch dazu.,The sharpest of this kind is added.,TO ANNOTATE
1294613,457749,Nach Anhörung aller Geschichten Spaß vergangen über ihre Gewohnheiten Sie haben die Straße immer Sorgen um die Auswirkungen oder auf jahrelanger was er tun wird nach dreißig?,After hearing all the stories fun passed about their habits You have the street always worried about the impact or on years of what he will do after thirty?,TO ANNOTATE
529663,1479833,Sie verschifft Großbehältern von Kugeln auf einer Gesamtfläche bezogen.,It shuts large containers of balls on a total area.,TO ANNOTATE
348985,1379372,Es sollte etwa als saßen viele Aspekte des Lebens zu sein.,It should be like sitting many aspects of life.,TO ANNOTATE
785557,122743,"Torte gefüllt mit Heidelbeerpüree und Heidelbeermousse, dekoriert mit...","Torte filled with Heidelbeerpüree and Heidelbeermo buses, decorated with...",TO ANNOTATE
474388,320532,19 Zoll und metrischen Bauweise sowie deren späteren Weiterentwicklung mitgewirkt.,19 customs and metric construction as well as their subsequent development.,TO ANNOTATE
862607,199580,Die Erfassung des Fortbildungsbedarfs wird dank der Inser-Lösungen Intranet Fortbildung zum Kinderspiel.,Intranet's in-service in-service in-service in-service in-service in-service in-house in-service in-service in-service in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house in-house training.,TO ANNOTATE
273809,1260092,"Wer von all den Sie treffen, um dich gelehrt?",Who of all you meet to teach you?,TO ANNOTATE
1465257,25846,"Drift, weil er glaubt, Mitarbeiter in einem seiner, und dass der Großteil der Bevölkerung sieht es da aus der Ständigen Kommission und die Präsidentschaft übernommen haben, nicht für Schritte in diese.","Drift, because he believes staff in one of his, and that the majority of the population see it as having taken over from the Permanent Commission and the Presidency, not for steps into them.",TO ANNOTATE
203673,1440295,"Ist es machbar, und was kostet es?",Is it feasible and what does it cost?,GOOD
1364513,225027,Ein Industrie-Stoßdämpfer konventioneller Bauart verdrängt das Öl durch die in einer Hülse einseitig eingebrachten Drosselbohrungen.,A conventional industrial shock absorber displaces the oil by unilaterally inserting throttle drilling in a sleeve.,TO ANNOTATE
173806,1752414,Diese Tiere werden auf die Obergrenze angerechnet.,These animals will be included in the ceiling.,TO ANNOTATE
568024,1672124,"34.1.1 (1) Sonstige iia (1),IV (1) keine Begrenzung keine Begrenzung Arten","34.1.1 (1) Other iia (1),IV (1) no limitation no species",TO ANNOTATE
507551,786981,Tally ist die amerikanische Bezeichnung f r das Schnittholz-Aufma .,Tally is an American term used to describe the upheaval of sawn timber .,CONTROL HALL
1751426,148561,"""Er (Napolitano) erläutert, hat"" Verantwortung beschränkt sich, wie viele das sind engagiert in endlosen Spekulationen darüber abstimmen, angibt, einige sogar Zeitpunkt zwischen November und Dezember ist das gut zu scheitern, weil das ist nicht ihre.","""He explains (Napolitano) has limited his responsibilities, as many of these are committed to coordinating in endless speculation, indicating that some even between November and December is a good time to fail, because that is not theirs.",TO ANNOTATE
206415,492979,"Das Wer, Wo und Wann der Abspaltung","Who, Where and When of the Secession",TO ANNOTATE
318958,1855385,"""Weil doch nicht sein kann, was nicht sein darf.","""How can't be what shouldn't be?",TO ANNOTATE
793346,474344,"Nur, was bringen die besten Laufschuhe, wenn es die Socken sind, welche Blasen bilden?","But what do the best running shoes bring if they are the socks, which bubbles make?",TO ANNOTATE
63264,1750999,Ist das die Frage?,Is that the question?,GOOD
279482,910299,"Nein, nicht die Seite, sondern ich ziehe um.","No, not the page, but I move around.",TO ANNOTATE
498255,1208546,Einige Schulen Ball-Form cat-Fische durch das Riff gerollt.,Some schools ball form catfish rolled through the reef.,TO ANNOTATE
187412,875585,"Sie gehen davon aus, daß sie es sind.",They assume that they are.,TO ANNOTATE
968377,1415656,"Tibia I ohne Tibiaapophysen oder, falls vorhanden, Enddorn reduziert (Figs.","Tibia I without Tibiaapophysen or, if present, Enddorn reduced (Figs.",TO ANNOTATE
1748922,1659223,"Er versprach, und hier bringe ich euch beiden Schaltungen zu drucken und zu spielen, inoffizielle Formula Dé, der beste Weg, und ich habe eine Menge ist, zwei in zwei für Not Going Sättigen tun.","He promised, and here I bring you both circuits to print and play, unofficial Formula Dé, the best way, and I have a lot to do two in two for Not Going Sättigen.",TO ANNOTATE
331082,4426,"Zwischen Strahlen und Donnern, schneller Polka Op.","Between rays and donnies, polka op.",TO ANNOTATE
1087541,1409046,"Wie ich es verstehe, war der Boden nuotraukoj Untergebener prisiparkavę zu Ihnen nach Hause.","As I understand it, the ground was nuotraukoj subordinate prisiparkavę to you home.",TO ANNOTATE
674146,106921,"Mango geschnitten, bevor sie ""wählte nicht ー Cheers"" Ich habe nie.","Mango cut before she ""selected not ~ cheers"" I never did.",TO ANNOTATE
1368107,1416708,"90, 4-5) mit seinen Federn können, werde ich dem Bildschirm des Herrn, und unter seinen Flügeln werden Sie sich wohl: seine Treue wird Schild Ihrer.","90, 4-5) with his feathers, I will be the screen of the Lord, and beneath his wings you will be well: his faithfulness becomes shield of yours.",TO ANNOTATE
242759,1417656,Fangmöglichkeiten - Schutz des Großen Teufelsrochens,Fishing opportunities - protection of the Great Devil's Roch,TO ANNOTATE
333805,48348,"Um kahlen Stellen, wenn sie ohne Rüstung pg.",To dig dig digits if they have no armor pg.,TO ANNOTATE
362978,1474903,Eine gewisse Geradlinigkeit ist der Kommission offenbar nicht fremd.,The Commission does not seem to be foreign to a certain degree of blindness.,CONTROL HALL
196980,583782,"So hatte es sich so, dass es gibt.",That is how it was that there were.,TO ANNOTATE
108860,348786,Ihr Schicksal können nur wenige Leute.,Your destiny can only be few people.,TO ANNOTATE
148538,1533436,"FORDERN die Mitgliedstaaten AUF,","FORDERN Member States AUF,",TO ANNOTATE
979299,1042579,"Haben Sie nicht jemanden gesehen, der Berichterstattung über die net, dass das Bild mit UNetbootin machte kein Boot.",Have not seen anyone reporting on the net that the image with UNetbootin did not make a boat.,TO ANNOTATE
597169,906345,"Nur die Weintraube ist sehr viel es, guten verschiedener nicht des Teueren.","Only the grape is very much it, good different not of tea.",TO ANNOTATE
688521,300430,"Man Gesichter, nebeneinander, so erkennt er, wie man dieses sehr Koexistenz werden.","Faces, side by side, he knows how to become this very coexistence.",TO ANNOTATE
278666,227743,Linux: Als Daten von einem PV in anderem bewegen.,Linux: Moving from one PV to another as data.,TO ANNOTATE
1786239,1733223,"Regeln zu folgen, als würde ich sagen, dass es diejenigen in Bezug auf bestimmte Maßnahmen oder sind eher zu sein, dass die meisten Nutzer die möglicherweise siehe unsere Anzeige im Hintergrund, aber nicht mit einem bell'iMac 30 "" eine neue IPAD erschossen im Querformat.","Rules to follow as if I would say that it is those relating to certain measures or are more likely to be that most users who may see our ad in the background, but not with a bell'iMac 30' a new IPAD shot in landscape format.",TO ANNOTATE
942722,1779600,Drehen Sie die Dosenhälfte mit der Filmwicklung vorsichtig um und entfernen Sie den Kern und den Vorspann.,Turn the cans half carefully with the film development and remove the core and the forerunner.,TO ANNOTATE
1874172,652848,"Er habe nicht erwartet, dass jemand hinter ihm war und er schlug seinen Kopf ein wenig herum und einer der Widerhaken kam zu einer seiner Fans beleidigen und wurde durch eine plötzliche Angst ihre Füße verheddern Kabel wieder auch auf die Pins schließen und dann endete Hull's hair in Jim verwickelte.",He did not expect someone to be behind him and he beat his head a little around and one of the adversaries came to insult one of his fans and was hurt by a sudden fear her feet cushioning cables again to close the pins and then ended Hull's hair in Jim.,TO ANNOTATE
101014,1105214,"4. unter Verweis darauf, dass",4. Recalling that:,TO ANNOTATE
242575,1704040,3 zwei Spieler in einer solchen Situation duellieren.,3 two players in such a situation.,TO ANNOTATE
153676,1891068,Die Fahrt dauert circa 60 Minuten.,The journey takes about 60 minutes.,GOOD
1369886,1747963,"Ich bin für ein Konto suchen, gerade aus dem Geld, das weiterer Grund ist angekommen, denn tatsächlich tun, mit ihr oder nicht haben, um es zu jagen.","I am looking for an account, precisely for the money, the other reason has arrived, because actually do with it or not have to hunt it.",TO ANNOTATE
1348106,1545751,"2-Walzen-Foulard horizontal Typ ""HF"", zum Färben, Appretieren und Ausrüsten von Materialmustern im Zwickel.","2-Walzen-Foulard horizontal type ""HF,"" for coloring, apprehending and equipping material patterns in a twist.",TO ANNOTATE
331813,1118243,Die Größe s ist der Schlupf der relativistischen Maschine.,The size of the machine is the loop of the relativeist machine.,TO ANNOTATE
1115199,1256525,"Currently?a vorher Deutsche Fluglinie bis zu den auffangenferien, die auf der ganzen Erde über 70 Bestimmungsörtern hinaus anschließen.",Currently?a previously German airline up to the catching holidays that connect all over the world beyond 70 destinations.,TO ANNOTATE
424458,746058,Lösungen von der Stange werden Sie bei iconec nie vorfinden.,You will never find solutions from the rod at iconec.,TO ANNOTATE
463358,1262370,"Schau genau hin, und verdeh' dir nicht dein Genick!","Take a look at it, and don't deceive your genius!",TO ANNOTATE
1775543,1684011,"Sch den an der Yacht und Ausr stung, die die Seet chtigkeit der Yacht nicht beeintr chtigen und die Nutzung der Yacht weiterhin im zumutbaren Rahmen erm gli­chen, berechtigen nicht zum R cktritt.",The use of the yacht in a reasonable framework does not entitle the yacht to use it.,TO ANNOTATE
58089,1025385,In der REACH-Verordnung,REACH,TO ANNOTATE
1752068,312844,"Zwar ist es wahr, dass unsere genießen Filmen installieren wir die notwendigen Codecs und Flash-Plugin für Firefox, eine Aufgabe, die ich garantieren kann, ist Klicks gemacht mit ein paar und in etwa drei Minuten, was den ein System bereit zur Arbeit .","True, it is true that our enjoy movies we install the necessary codecs and Flash plugin for Firefox, a task that I can guarantee is made clicks with a few and in about three minutes what a system ready to work .",TO ANNOTATE
71584,1489964,Warum sind Juden erfolgreich?,Why are Jews successful?,GOOD
204342,531315,Zum Schluss kotzt sie das Geld aus.,"Finally, it is spending the money.",TO ANNOTATE
438527,591721,Grund: Sporadische Tätigkeiten werden als Liebhaberei verurteilt.,The reason: Sporadic activities are condemned as a favorite.,TO ANNOTATE
981536,1927677,""" Ab und an gingen Aufführungen auch daneben und wir schossen mit unseren Instrumenten und mit der Technik einen Bock.",""" From time to time performances also went next and we shot a dock with our instruments and with the technology.",TO ANNOTATE
182912,1477236,Vertragsabschl sse im Fernabsatz *,Distance selling *,TO ANNOTATE
493759,552814,"Spätestens wenn der Hund zu haaren beginnt, muss getrimmt werden.","If the dog starts to haar, it must be consumed.",TO ANNOTATE
1932093,857620,"Doch die BROTHERS behauptete, ich sage Ihnen, was Sie NICHT BRAUCHEN, das Unmögliche zu COR leisten, dafür aber haben, wenn etwas zu BENEFIT YOUR LIFE Diese Brüder LES ESPIRUTUAL GOING hat senkte das kaufen SPIRITUALITÄT CLAIMS und sagen, dass ""nicht bereit, höre das Wort GOTT"" zahlen aber wenn Sie bereit sind zu verbringen im Unsinn zu bezahlen.","But the BROTHERS claimed, I tell you what you do NOT BRAUCHEN to do the impossible to COR, but if something to BENEFIT YOUR LIFE These brothers LES ESPIRUTUAL GOING has reduced the purchase SPIRITUALITY CLAIMS and say that ""do not listen to the word GOTT"" pay but if you are willing to spend in nonsense.",TO ANNOTATE
195654,1686735,Sie werden unter völliger Geheimhaltung verabschiedet werden.,They will be adopted with complete secrecy.,TO ANNOTATE
723129,1123933,Die Qualit t Produkt Ihnen erm glicht es uns wohl zu f hlen Versenden unserer Patienten.,The quality of the product gives us the opportunity to send our patients in a steady manner.,TO ANNOTATE
306448,314033,Fischerei - Maßnahmen zur Wiederauffüllung der Kabeljaubestände 9,Fisheries - cod recovery measures 9,TO ANNOTATE
1835257,1714382,"Dublin Flughafen-Berechtigung , Hauptmitte der Firmen Aer Lingus e Ryanair für Niedrige Flugkosten Die dritte irische Firma, CityJet , handelt es Flüge zum Kurzschluß - Mittelstrecken mit dem anderen citt?eroportuali dell"" Irland und dell"" England .","Dublin Airport Authorisation , the main centre of Aer Lingus e Ryanair for low cost flights The third Irish company, CityJet , is short-circuit flights - medium-haul flights with the other citt?eroportuali dell"" Ireland and dell"" England .",TO ANNOTATE
176517,1020427,Andernfalls wird es nicht mit WINS ...,Otherwise it will not use WINS ...,TO ANNOTATE
424727,180255,KAUF - VILLEN Ein Auswahl aus Immobilienbestand..........,CAUF - VILL A selection of real estate.........,TO ANNOTATE
